lb,ub,interval width,coverage,estimator,$n_b$,mean_width,prop_budget,seed
-0.03636829,0.06535326,0.101721555,1,faq (full var),950,,,
-0.03638983,0.0653748,0.101764634,1,faq (simp var),950,,,
-0.04220439,0.04998469,0.09218908,1,faq (full var),950,,,
-0.04220787,0.04998817,0.09219604,1,faq (simp var),950,,,
-0.0724892,0.022450376,0.094939575,1,faq (full var),950,,,
-0.07251754,0.022478707,0.09499624,1,faq (simp var),950,,,
-0.0661906,0.023504885,0.08969548,1,faq (full var),950,,,
-0.0662036,0.023517886,0.089721486,1,faq (simp var),950,,,
-0.052262444,0.04508232,0.09734476,1,faq (full var),950,,,
-0.052263536,0.04508341,0.09734695,1,faq (simp var),950,,,
-0.059903674,0.027877644,0.08778132,1,faq (full var),950,,,
-0.059903804,0.027877774,0.08778158,1,faq (simp var),950,,,
-0.025346318,0.08676899,0.11211531,1,faq (full var),950,,,
-0.025369955,0.086792625,0.11216258,1,faq (simp var),950,,,
-0.082764946,0.0003267154,0.08309166,1,faq (full var),950,,,
-0.08293916,0.00050093606,0.083440095,1,faq (simp var),950,,,
-0.06513928,0.02154043,0.08667971,1,faq (full var),950,,,
-0.065213256,0.021614403,0.08682766,1,faq (simp var),950,,,
-0.05900992,0.021255087,0.08026501,1,faq (full var),950,,,
-0.05907674,0.021321908,0.08039865,1,faq (simp var),950,,,
-0.060812235,0.026248418,0.08706065,1,faq (full var),950,,,
-0.060821723,0.026257906,0.08707963,1,faq (simp var),950,,,
-0.045782723,0.055754147,0.10153687,1,faq (full var),950,,,
-0.045782723,0.055754147,0.10153687,1,faq (simp var),950,,,
-0.055895615,0.026117872,0.08201349,1,faq (full var),950,,,
-0.055937048,0.026159305,0.08209635,1,faq (simp var),950,,,
-0.058103554,0.02198399,0.08008754,1,faq (full var),950,,,
-0.05810821,0.021988647,0.080096856,1,faq (simp var),950,,,
-0.014964506,0.0885877,0.10355221,1,faq (full var),950,,,
-0.015002396,0.088625595,0.103627995,1,faq (simp var),950,,,
-0.07975231,-0.007556293,0.07219602,0,faq (full var),950,,,
-0.07980318,-0.007505428,0.07229775,0,faq (simp var),950,,,
-0.04592266,0.04986813,0.09579079,1,faq (full var),950,,,
-0.04592268,0.049868144,0.095790826,1,faq (simp var),950,,,
-0.0031524822,0.095284,0.09843648,1,faq (full var),950,,,
-0.0031868666,0.095318384,0.09850525,1,faq (simp var),950,,,
-0.07454075,0.010208081,0.084748834,1,faq (full var),950,,,
-0.074610874,0.01027821,0.084889084,1,faq (simp var),950,,,
-0.038587272,0.053566605,0.09215388,1,faq (full var),950,,,
-0.03860407,0.053583402,0.09218747,1,faq (simp var),950,,,
-0.051292844,0.044116355,0.0954092,1,faq (full var),950,,,
-0.051301472,0.044124983,0.095426455,1,faq (simp var),950,,,
-0.074192785,-0.005312249,0.068880536,0,faq (full var),950,,,
-0.0743223,-0.0051827393,0.069139555,0,faq (simp var),950,,,
-0.044897515,0.05158155,0.096479066,1,faq (full var),950,,,
-0.044899166,0.0515832,0.09648237,1,faq (simp var),950,,,
-0.017785814,0.09796108,0.1157469,1,faq (full var),950,,,
-0.017804436,0.0979797,0.11578414,1,faq (simp var),950,,,
-0.028056834,0.08502847,0.1130853,1,faq (full var),950,,,
-0.028079871,0.08505151,0.113131374,1,faq (simp var),950,,,
-0.058641538,0.023611844,0.08225338,1,faq (full var),950,,,
-0.058710285,0.02368059,0.082390875,1,faq (simp var),950,,,
-0.07457563,0.008345708,0.08292134,1,faq (full var),950,,,
-0.07460046,0.008370537,0.08297099,1,faq (simp var),950,,,
-0.08014557,0.012957741,0.093103305,1,faq (full var),950,,,
-0.08015619,0.012968358,0.09312455,1,faq (simp var),950,,,
-0.05209198,0.031510904,0.08360288,1,faq (full var),950,,,
-0.0521164,0.031535335,0.08365174,1,faq (simp var),950,,,
-0.06370342,0.03356743,0.09727085,1,faq (full var),950,,,
-0.063726015,0.033590034,0.09731605,1,faq (simp var),950,,,
-0.03349559,0.07505533,0.10855092,1,faq (full var),950,,,
-0.033516143,0.07507588,0.10859202,1,faq (simp var),950,,,
-0.041361406,0.046471544,0.08783295,1,faq (full var),950,,,
-0.04142156,0.046531696,0.087953255,1,faq (simp var),950,,,
-0.022244198,0.079356864,0.101601064,1,faq (full var),950,,,
-0.022274131,0.0793868,0.10166093,1,faq (simp var),950,,,
-0.05519056,0.032492977,0.087683536,1,faq (full var),950,,,
-0.055193774,0.03249619,0.087689966,1,faq (simp var),950,,,
-0.07338042,0.012819648,0.086200066,1,faq (full var),950,,,
-0.073427975,0.012867209,0.08629519,1,faq (simp var),950,,,
0.04047741,0.1458926,0.105415195,0,faq (full var),950,,,
0.040270746,0.14609927,0.10582852,0,faq (simp var),950,,,
-0.0011054352,0.098589174,0.09969461,1,faq (full var),950,,,
-0.0011593364,0.09864308,0.09980242,1,faq (simp var),950,,,
-0.08679128,0.0050074384,0.091798715,1,faq (full var),950,,,
-0.08685799,0.005074147,0.09193213,1,faq (simp var),950,,,
-0.032572217,0.054723807,0.087296024,1,faq (full var),950,,,
-0.03257954,0.054731123,0.087310664,1,faq (simp var),950,,,
0.01336905,0.12825859,0.11488953,0,faq (full var),950,,,
0.013253376,0.12837426,0.11512089,0,faq (simp var),950,,,
-0.051726125,0.039340936,0.09106706,1,faq (full var),950,,,
-0.05172613,0.03934094,0.09106707,1,faq (simp var),950,,,
-0.08571436,-0.004607901,0.08110646,0,faq (full var),950,,,
-0.085811734,-0.0045105256,0.08130121,0,faq (simp var),950,,,
-0.041142173,0.047212645,0.08835482,1,faq (full var),950,,,
-0.04115338,0.04722385,0.08837723,1,faq (simp var),950,,,
-0.009065419,0.10135491,0.11042033,1,faq (full var),950,,,
-0.009136409,0.1014259,0.11056231,1,faq (simp var),950,,,
-0.063057534,0.033930365,0.0969879,1,faq (full var),950,,,
-0.06305841,0.03393124,0.096989654,1,faq (simp var),950,,,
-0.0472193,0.046911754,0.09413105,1,faq (full var),950,,,
-0.047219936,0.04691239,0.09413233,1,faq (simp var),950,,,
-0.039226577,0.05535713,0.094583705,1,faq (full var),950,,,
-0.03922668,0.055357233,0.09458391,1,faq (simp var),950,,,
-0.02039496,0.07764671,0.09804167,1,faq (full var),950,,,
-0.020401971,0.07765372,0.09805569,1,faq (simp var),950,,,
-0.048651423,0.05435666,0.103008084,1,faq (full var),950,,,
-0.048659995,0.054365233,0.10302523,1,faq (simp var),950,,,
-0.06558693,0.023298783,0.08888572,1,faq (full var),950,,,
-0.06564316,0.023355013,0.088998176,1,faq (simp var),950,,,
-0.056647256,0.03548315,0.09213041,1,faq (full var),950,,,
-0.05669553,0.035531424,0.09222695,1,faq (simp var),950,,,
-0.033392094,0.06323619,0.096628286,1,faq (full var),950,,,
-0.033397686,0.06324179,0.09663947,1,faq (simp var),950,,,
-0.09241454,-0.005906932,0.08650761,0,faq (full var),950,,,
-0.09254136,-0.0057801157,0.08676124,0,faq (simp var),950,,,
-0.0043146275,0.09514682,0.09946145,1,faq (full var),950,,,
-0.0043595918,0.09519178,0.099551365,1,faq (simp var),950,,,
-0.02331208,0.06791684,0.09122892,1,faq (full var),950,,,
-0.023323063,0.06792782,0.09125088,1,faq (simp var),950,,,
-0.071957186,0.00971357,0.08167075,1,faq (full var),950,,,
-0.07201462,0.009771006,0.08178563,1,faq (simp var),950,,,
-0.031618502,0.047939856,0.07955836,1,faq (full var),950,,,
-0.03164537,0.047966722,0.07961209,1,faq (simp var),950,,,
-0.040019117,0.059069738,0.099088855,1,faq (full var),950,,,
-0.04003317,0.05908379,0.09911696,1,faq (simp var),950,,,
-0.047957413,0.054832734,0.10279015,1,faq (full var),950,,,
-0.047957733,0.054833055,0.10279079,1,faq (simp var),950,,,
-0.086297154,-0.010506067,0.07579109,0,faq (full var),950,,,
-0.08637467,-0.010428552,0.07594612,0,faq (simp var),950,,,
-0.0438933,0.030219292,0.074112594,1,faq (full var),950,,,
-0.043927327,0.03025332,0.07418065,1,faq (simp var),950,,,
-0.06112756,0.020286873,0.08141443,1,faq (full var),950,,,
-0.061183766,0.02034308,0.081526846,1,faq (simp var),950,,,
-0.0039079674,0.093335524,0.09724349,1,faq (full var),950,,,
-0.0039371625,0.09336472,0.097301885,1,faq (simp var),950,,,
-0.02147935,0.08913046,0.110609815,1,faq (full var),950,,,
-0.021495894,0.089147,0.110642895,1,faq (simp var),950,,,
-0.057959605,0.029237073,0.08719668,1,faq (full var),950,,,
-0.057964616,0.029242083,0.0872067,1,faq (simp var),950,,,
-0.05755177,0.02589813,0.0834499,1,faq (full var),950,,,
-0.057604574,0.025950933,0.083555505,1,faq (simp var),950,,,
0.0038406178,0.117632836,0.11379222,0,faq (full var),950,,,
0.0036935993,0.11777985,0.114086255,0,faq (simp var),950,,,
-0.03338557,0.07237227,0.10575785,1,faq (full var),950,,,
-0.03343091,0.07241762,0.10584853,1,faq (simp var),950,,,
-0.022683986,0.06537845,0.088062435,1,faq (full var),950,,,
-0.02268589,0.06538035,0.088066235,1,faq (simp var),950,,,
-0.05041172,0.04853164,0.09894336,1,faq (full var),950,,,
-0.050412234,0.048532154,0.09894439,1,faq (simp var),950,,,
-0.07700485,-0.0038148202,0.07319003,0,faq (full var),950,,,
-0.07723971,-0.0035799667,0.07365974,0,faq (simp var),950,,,
-0.07000462,0.011898443,0.08190306,1,faq (full var),950,,,
-0.07002926,0.011923086,0.08195235,1,faq (simp var),950,,,
-0.047829315,0.03504575,0.082875066,1,faq (full var),950,,,
-0.04783611,0.035052545,0.082888655,1,faq (simp var),950,,,
-0.0037926026,0.09399912,0.09779172,1,faq (full var),950,,,
-0.003819555,0.094026074,0.09784563,1,faq (simp var),950,,,
-0.037538867,0.061629493,0.09916836,1,faq (full var),950,,,
-0.037553903,0.061644528,0.09919843,1,faq (simp var),950,,,
-0.06918286,0.02203999,0.09122285,1,faq (full var),950,,,
-0.069192335,0.022049464,0.0912418,1,faq (simp var),950,,,
0.014986064,0.12191886,0.10693279,0,faq (full var),950,,,
0.014895763,0.12200916,0.10711339,0,faq (simp var),950,,,
-0.06457038,0.016729712,0.081300095,1,faq (full var),950,,,
-0.06460725,0.016766582,0.081373826,1,faq (simp var),950,,,
-0.07408432,0.0041730553,0.078257374,1,faq (full var),950,,,
-0.07411821,0.0042069443,0.07832515,1,faq (simp var),950,,,
-0.06368293,0.021729967,0.0854129,1,faq (full var),950,,,
-0.06370269,0.021749722,0.08545241,1,faq (simp var),950,,,
-0.04253822,0.057265848,0.099804066,1,faq (full var),950,,,
-0.042538233,0.057265855,0.09980409,1,faq (simp var),950,,,
-0.054409765,0.0317576,0.086167365,1,faq (full var),950,,,
-0.054597452,0.03194529,0.08654274,1,faq (simp var),950,,,
-0.05452559,0.040631577,0.09515717,1,faq (full var),950,,,
-0.054530866,0.04063686,0.09516773,1,faq (simp var),950,,,
-0.0755738,0.015316118,0.090889916,1,faq (full var),950,,,
-0.075602986,0.015345305,0.09094829,1,faq (simp var),950,,,
-0.012004148,0.09664641,0.108650565,1,faq (full var),950,,,
-0.012037102,0.09667936,0.10871646,1,faq (simp var),950,,,
-0.02422245,0.076424286,0.100646734,1,faq (full var),950,,,
-0.024225192,0.07642703,0.10065222,1,faq (simp var),950,,,
-0.04096599,0.049930967,0.09089696,1,faq (full var),950,,,
-0.040966026,0.049931005,0.09089703,1,faq (simp var),950,,,
-0.08517,0.005320724,0.09049073,1,faq (full var),950,,,
-0.08521733,0.0053680465,0.09058537,1,faq (simp var),950,,,
-0.029928487,0.058826786,0.08875527,1,faq (full var),950,,,
-0.02994138,0.05883968,0.08878106,1,faq (simp var),950,,,
-0.0379338,0.062461104,0.100394905,1,faq (full var),950,,,
-0.037938803,0.062466107,0.10040491,1,faq (simp var),950,,,
-0.044846214,0.063356325,0.10820254,1,faq (full var),950,,,
-0.044849,0.06335911,0.10820811,1,faq (simp var),950,,,
-0.039031394,0.048302814,0.08733421,1,faq (full var),950,,,
-0.039031662,0.048303083,0.087334745,1,faq (simp var),950,,,
-0.05140176,0.03589127,0.08729303,1,faq (full var),950,,,
