lb,ub,interval width,coverage,estimator,$n_b$,mean_width,prop_budget,seed
-0.02989529,0.07306566,0.10296095,1,faq (full var),950,,,
-0.029918004,0.07308838,0.10300638,1,faq (simp var),950,,,
-0.037284963,0.05623038,0.093515344,1,faq (full var),950,,,
-0.037287787,0.056233205,0.09352099,1,faq (simp var),950,,,
-0.07908258,0.015767973,0.094850555,1,faq (full var),950,,,
-0.0791128,0.015798185,0.09491098,1,faq (simp var),950,,,
-0.06504561,0.025564294,0.09060991,1,faq (full var),950,,,
-0.06505939,0.025578078,0.090637475,1,faq (simp var),950,,,
-0.04981498,0.04804841,0.09786339,1,faq (full var),950,,,
-0.04981636,0.04804979,0.09786615,1,faq (simp var),950,,,
-0.059879698,0.029151164,0.08903086,1,faq (full var),950,,,
-0.059879847,0.029151313,0.08903116,1,faq (simp var),950,,,
-0.026646357,0.08626951,0.11291587,1,faq (full var),950,,,
-0.026669752,0.08629291,0.11296266,1,faq (simp var),950,,,
-0.08466626,-0.0011013076,0.08356495,0,faq (full var),950,,,
-0.08484259,-0.0009249784,0.08391762,0,faq (simp var),950,,,
-0.06611839,0.023952551,0.09007094,1,faq (full var),950,,,
-0.066168875,0.024003036,0.09017191,1,faq (simp var),950,,,
-0.051913224,0.029132837,0.08104606,1,faq (full var),950,,,
-0.05198013,0.029199744,0.08117987,1,faq (simp var),950,,,
-0.0654262,0.022910122,0.08833632,1,faq (full var),950,,,
-0.06543447,0.022918396,0.08835287,1,faq (simp var),950,,,
-0.03892858,0.06312139,0.10204998,1,faq (full var),950,,,
-0.03892858,0.06312139,0.10204998,1,faq (simp var),950,,,
-0.059694685,0.023849254,0.08354394,1,faq (full var),950,,,
-0.0597315,0.023886064,0.08361756,1,faq (simp var),950,,,
-0.063557945,0.017866125,0.08142407,1,faq (full var),950,,,
-0.06356249,0.01787067,0.08143316,1,faq (simp var),950,,,
-0.017209671,0.0869136,0.10412327,1,faq (full var),950,,,
-0.017246205,0.08695014,0.10419634,1,faq (simp var),950,,,
-0.06993486,0.0025641248,0.072498985,1,faq (full var),950,,,
-0.06998557,0.0026148371,0.07260041,1,faq (simp var),950,,,
-0.039673403,0.05695884,0.09663224,1,faq (full var),950,,,
-0.03967344,0.056958877,0.09663232,1,faq (simp var),950,,,
-0.0037903562,0.0958461,0.09963646,1,faq (full var),950,,,
-0.003821358,0.0958771,0.09969846,1,faq (simp var),950,,,
