lb,ub,mean_width,coverage,estimator,$n_b$,prop_budget,seed
-0.0036994703,0.08046098,0.08416045,1,classical,1890,0.0049987965860070725,0
-0.037536215,0.040437814,0.07797403,1,classical,1890,0.0049987965860070725,1
-0.048231512,0.028308496,0.07654001,1,classical,1890,0.0049987965860070725,2
-0.029119182,0.05179522,0.0809144,1,classical,1890,0.0049987965860070725,3
-0.022666216,0.058008455,0.08067467,1,classical,1890,0.0049987965860070725,4
-0.013689363,0.06851338,0.08220274,1,classical,1890,0.0049987965860070725,5
-0.04666387,0.027228493,0.07389236,1,classical,1890,0.0049987965860070725,6
0.0023834966,0.08507137,0.08268787,1,classical,1890,0.0049987965860070725,7
-0.061107352,0.0087351035,0.06984246,0,classical,1890,0.0049987965860070725,8
-0.033990573,0.041571345,0.07556192,1,classical,1890,0.0049987965860070725,9
-0.003187541,0.08066356,0.0838511,1,classical,1890,0.0049987965860070725,10
-0.0074869096,0.07689359,0.0843805,1,classical,1890,0.0049987965860070725,11
-0.03705561,0.033122644,0.070178255,1,classical,1890,0.0049987965860070725,12
-0.020297179,0.061177462,0.08147464,1,classical,1890,0.0049987965860070725,13
-0.051302824,0.020652171,0.071954995,1,classical,1890,0.0049987965860070725,14
-0.050162166,0.033199757,0.08336192,1,classical,1890,0.0049987965860070725,15
-0.02626744,0.055667877,0.08193532,1,classical,1890,0.0049987965860070725,16
-0.032887094,0.042427003,0.0753141,1,classical,1890,0.0049987965860070725,17
0.0049052276,0.08949165,0.08458643,1,classical,1890,0.0049987965860070725,18
-0.016460247,0.06565968,0.08211993,1,classical,1890,0.0049987965860070725,19
-0.035565637,0.04006756,0.0756332,1,classical,1890,0.0049987965860070725,20
-0.041185603,0.036528707,0.07771431,1,classical,1890,0.0049987965860070725,21
-0.019464286,0.059124656,0.07858894,1,classical,1890,0.0049987965860070725,22
-0.0017273985,0.09004256,0.09176996,1,classical,1890,0.0049987965860070725,23
-0.06522702,0.0006466247,0.06587364,0,classical,1890,0.0049987965860070725,24
-0.036437776,0.048155937,0.08459371,1,classical,1890,0.0049987965860070725,25
-0.030285988,0.056848425,0.08713441,1,classical,1890,0.0049987965860070725,26
-0.06273988,0.005752735,0.068492614,0,classical,1890,0.0049987965860070725,27
-0.047903083,0.031341486,0.07924457,1,classical,1890,0.0049987965860070725,28
-0.011989862,0.07149459,0.08348445,1,classical,1890,0.0049987965860070725,29
-0.029568553,0.051048428,0.08061698,1,classical,1890,0.0049987965860070725,30
-0.0106267035,0.07620251,0.086829215,1,classical,1890,0.0049987965860070725,31
0.004515011,0.08864927,0.084134266,1,classical,1890,0.0049987965860070725,32
-0.028324198,0.047573928,0.075898126,1,classical,1890,0.0049987965860070725,33
-0.03230005,0.046535086,0.07883514,1,classical,1890,0.0049987965860070725,34
-0.038348936,0.036048017,0.07439695,1,classical,1890,0.0049987965860070725,35
-0.039649937,0.039346527,0.078996465,1,classical,1890,0.0049987965860070725,36
-0.038696527,0.035049453,0.07374598,1,classical,1890,0.0049987965860070725,37
-0.03702066,0.043932803,0.080953464,1,classical,1890,0.0049987965860070725,38
-0.051385794,0.023375396,0.07476119,1,classical,1890,0.0049987965860070725,39
-0.019326767,0.0578795,0.07720627,1,classical,1890,0.0049987965860070725,40
-0.03604692,0.042592872,0.07863979,1,classical,1890,0.0049987965860070725,41
-0.036373165,0.041486416,0.07785958,1,classical,1890,0.0049987965860070725,42
0.009042144,0.09666182,0.08761968,1,classical,1890,0.0049987965860070725,43
-0.032797724,0.049322434,0.08212016,1,classical,1890,0.0049987965860070725,44
-0.03147735,0.054317098,0.08579445,1,classical,1890,0.0049987965860070725,45
-0.047158018,0.027041988,0.074200004,1,classical,1890,0.0049987965860070725,46
-0.015824603,0.0661865,0.0820111,1,classical,1890,0.0049987965860070725,47
-0.004342545,0.07795367,0.08229621,1,classical,1890,0.0049987965860070725,48
-0.038707055,0.0439642,0.082671255,1,classical,1890,0.0049987965860070725,49
-0.061007462,0.008780204,0.069787666,0,classical,1890,0.0049987965860070725,50
-0.0004630573,0.08373585,0.08419891,1,classical,1890,0.0049987965860070725,51
-0.0052879006,0.07678096,0.08206886,1,classical,1890,0.0049987965860070725,52
-0.041057937,0.035098314,0.07615625,1,classical,1890,0.0049987965860070725,53
-0.035811767,0.038663097,0.07447486,1,classical,1890,0.0049987965860070725,54
-0.0079435,0.07475893,0.08270243,1,classical,1890,0.0049987965860070725,55
0.0014163554,0.09235817,0.09094182,1,classical,1890,0.0049987965860070725,56
-0.029738769,0.04924362,0.07898239,1,classical,1890,0.0049987965860070725,57
-0.025330743,0.053303093,0.07863384,1,classical,1890,0.0049987965860070725,58
0.013931565,0.10357926,0.089647695,0,classical,1890,0.0049987965860070725,59
-0.049813166,0.024248742,0.07406191,1,classical,1890,0.0049987965860070725,60
-0.04153971,0.03402834,0.07556805,1,classical,1890,0.0049987965860070725,61
-0.014102142,0.071741804,0.08584395,1,classical,1890,0.0049987965860070725,62
-0.01747076,0.06410841,0.08157917,1,classical,1890,0.0049987965860070725,63
-0.0044546947,0.082932055,0.08738675,1,classical,1890,0.0049987965860070725,64
-0.053344905,0.020672427,0.07401733,1,classical,1890,0.0049987965860070725,65
-0.05411406,0.020421552,0.07453561,1,classical,1890,0.0049987965860070725,66
-0.031783145,0.042718712,0.07450186,1,classical,1890,0.0049987965860070725,67
-0.038040023,0.03841282,0.076452844,1,classical,1890,0.0049987965860070725,68
-0.020761851,0.057054196,0.07781605,1,classical,1890,0.0049987965860070725,69
-0.022209577,0.057231486,0.07944106,1,classical,1890,0.0049987965860070725,70
-0.03135965,0.054205522,0.08556517,1,classical,1890,0.0049987965860070725,71
-0.028798893,0.047001496,0.07580039,1,classical,1890,0.0049987965860070725,72
-0.040996835,0.038434744,0.07943158,1,classical,1890,0.0049987965860070725,73
-0.03033109,0.047318734,0.077649824,1,classical,1890,0.0049987965860070725,74
-0.013968114,0.06721054,0.08117865,1,classical,1890,0.0049987965860070725,75
0.022643462,0.11351846,0.090875,0,classical,1890,0.0049987965860070725,76
-0.025140367,0.052655436,0.0777958,1,classical,1890,0.0049987965860070725,77
-0.026268475,0.052348375,0.07861685,1,classical,1890,0.0049987965860070725,78
-0.030834153,0.049348228,0.08018238,1,classical,1890,0.0049987965860070725,79
-0.00975178,0.070141874,0.079893656,1,classical,1890,0.0049987965860070725,80
0.026508372,0.11679627,0.090287894,0,classical,1890,0.0049987965860070725,81
-0.028701628,0.05341039,0.082112014,1,classical,1890,0.0049987965860070725,82
0.022886004,0.10692088,0.084034875,0,classical,1890,0.0049987965860070725,83
-0.049212046,0.03216552,0.081377566,1,classical,1890,0.0049987965860070725,84
